"University","Year","Version","Dictionary","Wo","ScoreTxt","Presentage","Score","PreunpT","PreuneT","PreunvT","Preunm","Scounp","Scounm","Scounv","Scoune","Txtunp","Txtune","Txtunv","Txtunm","Preunp","Preune","Preunv","Preunm.1","Scounp.1","Scounm.1","Scounv.1","Scoune.1","Txtunp.1","Txtune.1","Txtunv.1","Txtunm.1"
"1","LUT",21,"27",5,"VIRT&DATA",3,0.2,9,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,1,-0.105409249663353,0.178,0.26,0.433421909809113,6.6,78.3,-0.447213590145111,0.613354325294495,-0.316227734088898,78.3,6.6
"2","LUT",20,"27",5,"VIRT&DATA",0,0,0,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,1,-0.105409249663353,0.178,0.26,0.433421909809113,6.6,78.3,-0.447213590145111,0.613354325294495,-0.316227734088898,78.3,6.6
"3","LUT",19,"27",5,"VIRT&DATA",1,0.1,21,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,1,-0.105409249663353,0.178,0.26,0.433421909809113,6.6,78.3,-0.447213590145111,0.613354325294495,-0.316227734088898,78.3,6.6
"4","LUT",18,"27",5,"VIRT&DATA",1,1,3,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,1,-0.105409249663353,0.178,0.26,0.433421909809113,6.6,78.3,-0.447213590145111,0.613354325294495,-0.316227734088898,78.3,6.6
"5","LUT",17,"27",5,"VIRT&DATA",0,0,0,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,1,-0.105409249663353,0.178,0.26,0.433421909809113,6.6,78.3,-0.447213590145111,0.613354325294495,-0.316227734088898,78.3,6.6
"6","ALL",21,"27",5,"VIRT&DATA",5,0.161290322580645,20,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,0.806495904922485,-0.200000002980232,0.000321521411024214,0.158161870854718,0.0675772801041603,18.6,67.8,-0.894427180290222,0.129551351070404,-0.73786473274231,67.8,18.6
"7","ALL",20,"27",5,"VIRT&DATA",5,0.178571428571429,29,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,0.806495904922485,-0.200000002980232,0.000321521411024214,0.158161870854718,0.0675772801041603,18.6,67.8,-0.894427180290222,0.129551351070404,-0.73786473274231,67.8,18.6
"8","ALL",19,"27",5,"VIRT&DATA",3,0.130434782608696,20,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,0.806495904922485,-0.200000002980232,0.000321521411024214,0.158161870854718,0.0675772801041603,18.6,67.8,-0.894427180290222,0.129551351070404,-0.73786473274231,67.8,18.6
"9","ALL",18,"27",5,"VIRT&DATA",3,0.166666666666667,18,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,0.806495904922485,-0.200000002980232,0.000321521411024214,0.158161870854718,0.0675772801041603,18.6,67.8,-0.894427180290222,0.129551351070404,-0.73786473274231,67.8,18.6
"10","ALL",17,"27",5,"VIRT&DATA",2,0.153846153846154,6,0.806495904922485,0.200000002980232,0.152373059805324,1.40482095268956,0.0274863410741091,326.4,34009.3,-1,0.0864107236266136,-0.800000011920929,473,49,0.806495904922485,-0.200000002980232,0.000321521411024214,0.158161870854718,0.0675772801041603,18.6,67.8,-0.894427180290222,0.129551351070404,-0.73786473274231,67.8,18.6
