"University","Year","Version","Dictionary","Wo","ScoreTxt","Presentage","Score","PreunpT","PreuneT","PreunvT","Preunm","Scounp","Scounm","Scounv","Scoune","Txtunp","Txtune","Txtunv","Txtunm","Preunp","Preune","Preunv","Preunm.1","Scounp.1","Scounm.1","Scounv.1","Scoune.1","Txtunp.1","Txtune.1","Txtunv.1","Txtunm.1"
"1","LUT",21,"27",12,"MANUFACTURING",13,0.866666666666667,270,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0.119522862136364,0.190222222222222,0.773333333333333,0.0864107236266136,275.6,77133.3,-0.800000011920929,0.462432742118835,-0.400000005960464,77133.3,275.6
"2","LUT",20,"27",12,"MANUFACTURING",12,1,611,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0.119522862136364,0.190222222222222,0.773333333333333,0.0864107236266136,275.6,77133.3,-0.800000011920929,0.462432742118835,-0.400000005960464,77133.3,275.6
"3","LUT",19,"27",12,"MANUFACTURING",10,1,492,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0.119522862136364,0.190222222222222,0.773333333333333,0.0864107236266136,275.6,77133.3,-0.800000011920929,0.462432742118835,-0.400000005960464,77133.3,275.6
"4","LUT",18,"27",12,"MANUFACTURING",0,0,0,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0.119522862136364,0.190222222222222,0.773333333333333,0.0864107236266136,275.6,77133.3,-0.800000011920929,0.462432742118835,-0.400000005960464,77133.3,275.6
"5","LUT",17,"27",12,"MANUFACTURING",1,1,5,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0.119522862136364,0.190222222222222,0.773333333333333,0.0864107236266136,275.6,77133.3,-0.800000011920929,0.462432742118835,-0.400000005960464,77133.3,275.6
"6","ALL",21,"27",12,"MANUFACTURING",21,0.67741935483871,256,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0215716542878362,0.757599919170747,0.0864107236266136,364.8,25683.7,-0.800000011920929,0.806495904922485,-0.200000002980232,25683.7,364.8
"7","ALL",20,"27",12,"MANUFACTURING",24,0.857142857142857,588,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0215716542878362,0.757599919170747,0.0864107236266136,364.8,25683.7,-0.800000011920929,0.806495904922485,-0.200000002980232,25683.7,364.8
"8","ALL",19,"27",12,"MANUFACTURING",19,0.826086956521739,340,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0215716542878362,0.757599919170747,0.0864107236266136,364.8,25683.7,-0.800000011920929,0.806495904922485,-0.200000002980232,25683.7,364.8
"9","ALL",18,"27",12,"MANUFACTURING",16,0.888888888888889,455,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0215716542878362,0.757599919170747,0.0864107236266136,364.8,25683.7,-0.800000011920929,0.806495904922485,-0.200000002980232,25683.7,364.8
"10","ALL",17,"27",12,"MANUFACTURING",7,0.538461538461538,185,0.806495904922485,-0.200000002980232,0.12734118422912,6.4128822274819,0.0274863410741091,3748.4,3965888.8,-1,0.0864107236266136,-0.800000011920929,8394.5,245,1,0,0.0215716542878362,0.757599919170747,0.0864107236266136,364.8,25683.7,-0.800000011920929,0.806495904922485,-0.200000002980232,25683.7,364.8
